source,target,relation
29480210,27380342,cites
29480210,28968245,cites
29480210,28920889,cites
29480210,26201449,cites
29480210,26938440,cites
29480210,28829437,cites
29480210,28692723,cites
29480210,28920068,cites
29480210,28265459,cites
29480210,29201386,cites
30103342,28701493,cites
30103342,28968245,cites
30103342,25657333,cites
30103342,25662335,cites
30103342,26446947,cites
30103342,28642891,cites
30103342,24510496,cites
30103342,11924873,cites
30103342,18831882,cites
30103342,16434666,cites
30103342,29480210,cites
31381524,28968245,cites
31381524,31059641,cites
31381524,27589813,cites
31381524,26347707,cites
31381524,24702329,cites
31381524,28688166,cites
31381524,28671135,cites
31381524,8526244,cites
31381524,8866496,cites
31381524,11502903,cites
31381524,16043801,cites
31381524,19064745,cites
31381524,26175332,cites
31381524,24510496,cites
31381524,28701493,cites
31381524,16434666,cites
31381524,26536893,cites
31381524,20512158,cites
31381524,25568297,cites
31381524,29480210,cites
31381524,30103342,cites
31381524,30776019,cites
37483021,28968245,cites
37483021,35716693,cites
37483021,29142089,cites
37483021,21894212,cites
37483021,9374499,cites
37483021,26912634,cites
37483021,31286142,cites
37483021,33797036,cites
37483021,34305655,cites
37483021,22071279,cites
37483021,29480210,cites
37483021,30103342,cites
37483021,30776019,cites
37483021,31381524,cites
37483021,32250312,cites
37483021,35570498,cites
37483021,36463457,cites
25373358,21335591,cites
25373358,21703017,cites
25373358,21894613,cites
25373358,19094940,cites
25373358,15355936,cites
25373358,17132117,cites
25373358,21126358,cites
25373358,21347048,cites
25373358,11884321,cites
25373358,15998616,cites
25373358,14713661,cites
25373358,22550198,cites
25373358,17303677,cites
25373358,19584212,cites
25373358,19584213,cites
25373358,21366476,cites
25373358,15737004,cites
25373358,23075149,cites
25373358,23672724,cites
25373358,21348981,cites
21366476,18323436,cites
21366476,19067481,cites
21366476,19907043,cites
21366476,19228627,cites
21366476,16339408,cites
21366476,0,cites
21366476,19584212,cites
21366476,17548427,cites
21366476,20335313,cites
21366476,17329729,cites
21366476,15451835,cites
21366476,19901971,cites
21366476,20679560,cites
21366476,19724045,cites
21366476,19275948,cites
21366476,19370613,cites
21366476,18769481,cites
21366476,5327352,cites
27079379,17443628,cites
27079379,19160345,cites
27079379,18199864,cites
27079379,18769481,cites
27079379,15161896,cites
27079379,15364170,cites
27079379,23396544,cites
27079379,23166724,cites
27079379,23732270,cites
27079379,17956618,cites
27079379,19584213,cites
27079379,24289719,cites
27079379,21383991,cites
27079379,24427293,cites
27079379,17548404,cites
2456581,133209,cites
2456581,2431347,cites
2456581,6102490,cites
2456581,6157454,cites
2456581,6164436,cites
2456581,6121017,cites
2456581,6192358,cites
2456581,6312371,cites
2456581,6316146,cites
2456581,6198034,cites
2456581,6728327,cites
2456581,6375810,cites
2456581,6087209,cites
2456581,6493600,cites
2456581,2578185,cites
2456581,3155875,cites
2456581,6099868,cites
2456581,2950337,cites
2456581,3558899,cites
2456581,3294930,cites
2456581,2955849,cites
2456581,2441312,cites
2456581,2848190,cites
2456581,14049398,cites
2456581,3838946,cites
2456581,2995585,cites
2456581,2413707,cites
2456581,2865338,cites
2456581,2935747,cites
2456581,2422561,cites
2456581,2877396,cites
2456581,150454,cites
23907466,15165906,cites
23907466,17581576,cites
23907466,22369689,cites
23907466,17417937,cites
23907466,20373340,cites
23907466,20171282,cites
23907466,19545568,cites
23907466,11932021,cites
23907466,10098399,cites
23907466,11701632,cites
23907466,12372277,cites
23907466,14504263,cites
23907466,22071633,cites
23907466,21930185,cites
23907466,18449188,cites
23907466,14500809,cites
23907466,22411247,cites
23907466,9388259,cites
23907466,11719250,cites
23907466,15533937,cites
23907466,15292212,cites
23907466,21247881,cites
23907466,20702420,cites
23907466,19680539,cites
23907466,11017075,cites
23907466,10581021,cites
23907466,21827912,cites
23907466,20848157,cites
23907466,15757976,cites
23907466,21283659,cites
23907466,15257297,cites
23907466,14722159,cites
23907466,22901804,cites
23907466,19470458,cites
23907466,17702765,cites
23907466,10970838,cites
23907466,11433021,cites
23907466,11590133,cites
23907466,15496431,cites
23907466,16717059,cites
23907466,23166594,cites
23907466,14671308,cites
23907466,22427994,cites
23907466,21795378,cites
23907466,22847428,cites
23907466,23315009,cites
23907466,19878869,cites
23907466,21518731,cites
23907466,9486653,cites
23907466,11201747,cites
23907466,10749213,cites
23907466,11498593,cites
23907466,10778853,cites
23907466,14576312,cites
23907466,17317629,cites
23907466,22383888,cites
23907466,19056939,cites
23907466,19638999,cites
23907466,16141073,cites
23907466,16804541,cites
23907466,21555070,cites
23907466,22367996,cites
23907466,21437269,cites
23907466,21724553,cites
23907466,10557102,cites
23907466,10668800,cites
23907466,11468270,cites
23907466,15567511,cites
23907466,22341442,cites
23907466,23443539,cites
23907466,11685209,cites
23907466,21555591,cites
23907466,21930711,cites
23907466,18172692,cites
23907466,21173221,cites
23907466,21423665,cites
23907466,21729883,cites
23907466,15961406,cites
23907466,21725067,cites
23907466,20664076,cites
23907466,14730359,cites
23907466,22120646,cites
23907466,11296304,cites
23907466,16061794,cites
23907466,20399860,cites
23907466,23377551,cites
23907466,22720173,cites
23907466,20007218,cites
23907466,20190273,cites
23907466,11978769,cites
23907466,12657679,cites
23907466,19066230,cites
23907466,21757738,cites
23907466,18356253,cites
23907466,21971961,cites
23907466,21824437,cites
23907466,21918547,cites
23907466,17971830,cites
23907466,9675054,cites
23907466,16604191,cites
23907466,22150069,cites
23907466,22118545,cites
23907466,22138129,cites
23907466,18762557,cites
23907466,15548647,cites
23907466,22158031,cites
23907466,23589092,cites
23907466,19789634,cites
23907466,22031240,cites
23907466,19240687,cites
24366610,8458085,cites
24366610,11264541,cites
24366610,19498170,cites
24366610,20053912,cites
24366610,17321683,cites
24366610,12221159,cites
24366610,12747895,cites
24366610,15483602,cites
24366610,10828533,cites
24366610,1375014,cites
24366610,2456581,cites
24366610,10845758,cites
24366610,9010012,cites
24366610,9266732,cites
24366610,17893097,cites
24366610,10581228,cites
24366610,8687191,cites
24366610,9600992,cites
24366610,4345566,cites
24366610,19171138,cites
24366610,12950446,cites
24366610,11135020,cites
24366610,15036808,cites
24366610,11375494,cites
24366610,11978769,cites
24366610,10941183,cites
24366610,12574425,cites
24366610,1782616,cites
24366610,15642849,cites
24366610,1535611,cites
24366610,7562964,cites
24366610,18976322,cites
24366610,19672992,cites
24366610,2533515,cites
24366610,2139171,cites
24366610,17562929,cites
24366610,8487273,cites
24366610,17030764,cites
24366610,17272969,cites
24366610,19745649,cites
24366610,21861097,cites
24366610,22713409,cites
24366610,22815556,cites
24366610,19381278,cites
24366610,6626259,cites
24366610,18394562,cites
24366610,18581443,cites
24366610,18607213,cites
24366610,18466116,cites
24366610,17240289,cites
24366610,19679276,cites
24366610,16842168,cites
24366610,19588393,cites
24366610,17353947,cites
24366610,16336206,cites
24366610,15102562,cites
24366610,12625029,cites
24366610,20329804,cites
24366610,22014129,cites
24366610,6149131,cites
24366610,3625491,cites
24366610,8548309,cites
24366610,17078062,cites
24366610,6708929,cites
24366610,16476934,cites
24366610,9040721,cites
24366610,17133512,cites
24366610,19050408,cites
24366610,20021666,cites
24366610,23280482,cites
24366610,6236286,cites
24366610,6241563,cites
24366610,125578,cites
24366610,2962009,cites
24366610,12410058,cites
24366610,11890191,cites
24366610,12027832,cites
24366610,11234911,cites
24366610,10454874,cites
24366610,16916137,cites
24366610,11882064,cites
24366610,9793585,cites
24366610,10950488,cites
24366610,16384811,cites
24366610,15283541,cites
24366610,12420714,cites
24366610,9221965,cites
24366610,19557093,cites
24366610,19170197,cites
24366610,18765501,cites
24366610,12548355,cites
24366610,2958943,cites
24366610,14663041,cites
24366610,17702031,cites
24366610,131236,cites
24366610,6222164,cites
24366610,17894335,cites
24366610,145840,cites
24366610,4275254,cites
24366610,4275960,cites
24366610,15178736,cites
24366610,11852299,cites
24366610,21947193,cites
24366610,20142523,cites
24366610,19064745,cites
24366610,17135385,cites
25155142,21163446,cites
25155142,24727531,cites
25155142,23054839,cites
25155142,20055705,cites
25155142,23494242,cites
25155142,15811941,cites
25155142,21971427,cites
25155142,24484067,cites
25155142,22726834,cites
25155142,22726826,cites
25155142,23113488,cites
25155142,23541756,cites
25155142,7774020,cites
25155142,11062468,cites
25155142,16273073,cites
25155142,21557723,cites
25155142,21952166,cites
25155142,23451977,cites
25155142,22031240,cites
25155142,22252996,cites
25155142,22119622,cites
25155142,21909428,cites
25155142,19289118,cites
25155142,21423189,cites
25155142,17940007,cites
25155142,22939618,cites
25155142,22939619,cites
25155142,24784230,cites
25155142,24411731,cites
25155142,16298089,cites
25155142,22383888,cites
25155142,23341618,cites
25155142,21706032,cites
25155142,24614516,cites
25155142,20064390,cites
25155142,21623356,cites
25155142,18772195,cites
25155142,20237277,cites
25155142,22331905,cites
25155142,12706247,cites
25155142,15115766,cites
25155142,22396390,cites
25155142,16980958,cites
25155142,16980959,cites
25155142,23365139,cites
25155142,20383138,cites
25155142,15146184,cites
25155142,20147746,cites
25155142,20833817,cites
25155142,24436303,cites
25155142,22179319,cites
25155142,12576549,cites
25155142,22590724,cites
25155142,24302884,cites
25155142,22347433,cites
25155142,21677773,cites
25155142,19484127,cites
25155142,24432836,cites
25155142,22140466,cites
25155142,12588797,cites
25155142,14627700,cites
25155142,16864896,cites
25155142,19056933,cites
25155142,24490129,cites
25155142,20923867,cites
25155142,24698799,cites
25155142,20976216,cites
25155142,18424161,cites
25155142,15350968,cites
25155142,9786889,cites
25155142,16330479,cites
25155142,19525941,cites
25155142,22198502,cites
25155142,14561870,cites
25155142,23392662,cites
25155142,18602275,cites
25155142,18093249,cites
25155142,11408619,cites
25155142,15242649,cites
25155142,15120329,cites
25155142,16943855,cites
25155142,20970382,cites
25155142,24356252,cites
25155142,23446639,cites
25155142,24285878,cites
25155142,24503862,cites
25155142,23800350,cites
25155142,16604191,cites
25155142,18625748,cites
25155142,6849138,cites
25155142,23237916,cites
25155142,15571981,cites
25155142,1385624,cites
25155142,15806102,cites
25155142,21636279,cites
25155142,21640374,cites
25155142,24459107,cites
25155142,22766690,cites
25155142,22749337,cites
25155142,22749771,cites
25155142,22417253,cites
25155142,23238740,cites
25155142,19171786,cites
25155142,17962183,cites
25155142,21792905,cites
25155142,11592850,cites
25155142,9100675,cites
25155142,18353560,cites
25155142,15635412,cites
25155142,0,cites
25155142,16115812,cites
25155142,23373812,cites
25155142,22942319,cites
21909428,10767314,cites
21909428,11448935,cites
21909428,19650870,cites
21909428,7668287,cites
21909428,9158152,cites
21909428,8401589,cites
21909428,10410676,cites
21909428,11792857,cites
21909428,12531510,cites
21909428,10823891,cites
21909428,21163446,cites
21909428,15895552,cites
21909428,15099544,cites
21909428,18418661,cites
21909428,9778246,cites
21909428,7874163,cites
21909428,15457499,cites
21909428,18418689,cites
21909428,18953689,cites
21909428,7842016,cites
21909428,16777606,cites
21909428,17327906,cites
21909428,21095248,cites
21909428,19962779,cites
21909428,19713999,cites
21909428,17693253,cites
21909428,19334076,cites
21909428,11062468,cites
21909428,19380309,cites
21909428,18549309,cites
21909428,17317629,cites
21909428,18398004,cites
21909428,19714405,cites
21909428,16878173,cites
21909428,21028906,cites
21909428,21294677,cites
21909428,19412185,cites
21909428,19796074,cites
21909428,7647777,cites
21909428,7477379,cites
21909428,19805156,cites
21909428,7550343,cites
21909428,11182459,cites
21909428,16288298,cites
21909428,10804212,cites
21909428,17182613,cites
21909428,10778856,cites
21909428,21285523,cites
21909428,15808507,cites
21909428,20308049,cites
21909428,17764659,cites
21909428,20628574,cites
21909428,17150957,cites
21909428,19094060,cites
21909428,19289118,cites
21909428,19361997,cites
21909428,16682561,cites
21909428,16724069,cites
21909428,21428760,cites
21909428,18160687,cites
21909428,21368223,cites
21909428,19667189,cites
21909428,21247881,cites
21909428,12206800,cites
21909428,11328886,cites
21909428,19237396,cites
21028906,17417937,cites
21028906,17240289,cites
21028906,8458085,cites
21028906,8659522,cites
21028906,9158152,cites
21028906,8159192,cites
21028906,8401588,cites
21028906,15261377,cites
21028906,20166963,cites
21028906,15272267,cites
21028906,19116624,cites
21028906,2962291,cites
21028906,16262645,cites
21028906,18096160,cites
21028906,15383276,cites
21028906,15996546,cites
21028906,15906159,cites
21028906,15850950,cites
21028906,19650870,cites
21028906,20373247,cites
21028906,7774020,cites
21028906,9398841,cites
21028906,7618107,cites
21028906,19334076,cites
21028906,19962779,cites
21028906,12782788,cites
21028906,18549309,cites
21028906,16355113,cites
21028906,19094060,cites
21028906,19361997,cites
21028906,19289118,cites
21028906,19412185,cites
21028906,19796074,cites
21028906,19783436,cites
21028906,19608921,cites
21028906,18060019,cites
21028906,20227758,cites
21028906,20451687,cites
21028906,20378080,cites
21028906,16670427,cites
21028906,12466540,cites
21028906,16752924,cites
21028906,11738576,cites
21028906,12799454,cites
21028906,19086780,cites
21028906,20108935,cites
21028906,17552524,cites
21028906,10360355,cites
21028906,8464037,cites
21028906,7537874,cites
21028906,16086590,cites
21028906,20159983,cites
21028906,10572181,cites
21028906,18171024,cites
21028906,20215431,cites
21028906,16256944,cites
21028906,10352179,cites
21028906,15025917,cites
21028906,9547286,cites
21028906,12526664,cites
21028906,17107660,cites
21028906,14746510,cites
21028906,10367680,cites
21028906,20886212,cites
21028906,8401589,cites
21028906,15223312,cites
21028906,20624852,cites
21028906,16878173,cites
21028906,18614389,cites
21028906,10610767,cites
19412185,17417937,cites
19412185,17390258,cites
19412185,17240289,cites
19412185,16829072,cites
19412185,8159192,cites
19412185,10991985,cites
19412185,15811941,cites
19412185,16237462,cites
19412185,16095740,cites
19412185,17940007,cites
19412185,12782788,cites
19412185,16965178,cites
19412185,16355113,cites
19412185,18549309,cites
19412185,18841197,cites
19412185,19094060,cites
19412185,18754007,cites
19412185,7774020,cites
19412185,9398841,cites
19412185,14500809,cites
19412185,15926825,cites
19412185,17536840,cites
19412185,12812983,cites
19412185,15695335,cites
19412185,8602363,cites
19412185,16408037,cites
19412185,11972327,cites
19412185,17108989,cites
19412185,7633439,cites
19412185,16878173,cites
19412185,10805816,cites
19412185,17908999,cites
19412185,17173018,cites
22939619,19240687,cites
22939619,12834349,cites
22939619,21878547,cites
22939619,21971427,cites
22939619,21499294,cites
22939619,17940007,cites
22939619,21247881,cites
22939619,19334076,cites
22939619,8401587,cites
22939619,21427085,cites
22939619,18197166,cites
22939619,21441583,cites
22939619,21028906,cites
22939619,21539318,cites
22939619,20696378,cites
22939619,16717282,cites
22939619,22253019,cites
22939619,15811941,cites
22939619,12711685,cites
22939619,19412185,cites
22939619,21294677,cites
22939619,21095568,cites
22939619,21636527,cites
22939619,22939618,cites
22939619,22726834,cites
22939619,20215431,cites
22939619,8159192,cites
22939619,15685193,cites
22939619,11152661,cites
22939619,15284456,cites
22939619,19289118,cites
22939619,8458085,cites
22939619,12230974,cites
22939619,22285529,cites
22939619,15260970,cites
22939619,15223312,cites
22939619,12782788,cites
22939619,7774020,cites
22939619,16256944,cites
22939619,17417937,cites
22939619,19361997,cites
22939619,21285523,cites
22939619,16965178,cites
22939619,12408822,cites
22939619,18549309,cites
22939619,17240289,cites
22939619,19092929,cites
22939619,19249009,cites
22939619,22069063,cites
22939619,9398841,cites
22939619,7550343,cites
21971427,8458085,cites
21971427,16476934,cites
21971427,11205429,cites
21971427,20664076,cites
21971427,16230019,cites
21971427,15811941,cites
21971427,10778856,cites
21971427,16019264,cites
21971427,19334076,cites
21971427,19240687,cites
21971427,16095740,cites
21971427,17940007,cites
21971427,18398004,cites
21971427,17486044,cites
21971427,20833817,cites
21971427,7774020,cites
21971427,9398841,cites
21971427,17124493,cites
21971427,16417581,cites
21971427,11408619,cites
21971427,11133364,cites
21971427,11278258,cites
21971427,11062468,cites
21971427,16355113,cites
21971427,18549309,cites
21971427,19380309,cites
21971427,19289118,cites
21971427,19361997,cites
21971427,21095568,cites
21971427,19412185,cites
21971427,19786020,cites
21971427,21028906,cites
21971427,19249009,cites
21971427,20055705,cites
21971427,1400312,cites
21971427,16878173,cites
21971427,17028158,cites
21971427,12812983,cites
21971427,8968738,cites
21971427,18550760,cites
21971427,19086780,cites
21971427,21098280,cites
21971427,18931668,cites
21971427,17599084,cites
21971427,2932539,cites
21971427,11567051,cites
21971427,11906693,cites
25101598,21163446,cites
25101598,8458085,cites
25101598,20664076,cites
25101598,23417276,cites
25101598,24459107,cites
25101598,10778856,cites
25101598,15811941,cites
25101598,16530728,cites
25101598,16019264,cites
25101598,17940007,cites
25101598,16095740,cites
25101598,18388917,cites
25101598,19334076,cites
25101598,19240687,cites
25101598,22726834,cites
25101598,11062468,cites
25101598,22031240,cites
25101598,22252996,cites
25101598,17519034,cites
25101598,19249009,cites
25101598,19361997,cites
25101598,22387017,cites
25101598,20055705,cites
25101598,21971427,cites
25101598,23001568,cites
25101598,19086780,cites
25101598,10360355,cites
25101598,23963702,cites
25101598,6316146,cites
25101598,22939619,cites
25101598,21028906,cites
25101598,21909428,cites
25101598,23042244,cites
25101598,24038471,cites
25101598,23887934,cites
25101598,19412185,cites
25101598,24038799,cites
25101598,23026741,cites
25101598,17461769,cites
25101598,23686823,cites
25101598,23541756,cites
25101598,18550760,cites
25101598,10402204,cites
25101598,9596408,cites
25101598,6203775,cites
25101598,16878173,cites
25101598,12223539,cites
25101598,11719267,cites
17217418,15249612,cites
17217418,8856684,cites
17217418,16178023,cites
17217418,2422561,cites
17217418,12135980,cites
17217418,10401593,cites
17217418,7805581,cites
17217418,8417157,cites
17217418,2858515,cites
17217418,16455626,cites
17217418,10448053,cites
17217418,10434295,cites
17217418,11117485,cites
17217418,15287882,cites
17217418,1387037,cites
17217418,8401587,cites
17217418,11926272,cites
17217418,10861790,cites
17217418,2877650,cites
17217418,8350724,cites
17217418,10680699,cites
17217418,9010396,cites
17217418,2603957,cites
17217418,9566391,cites
17217418,8458085,cites
17217418,8255479,cites
17217418,9595987,cites
17217418,10800956,cites
17217418,16135087,cites
17217418,16601791,cites
17217418,11731527,cites
17217418,9029064,cites
17217418,15459747,cites
17217418,15474170,cites
17217418,15359012,cites
17217418,11592850,cites
17217418,10894218,cites
17217418,12165554,cites
17217418,8898202,cites
17217418,15983033,cites
17217418,9877527,cites
17217418,8361646,cites
17217418,1311847,cites
17217418,31966,cites
17217418,15699371,cites
17217418,10527748,cites
17217418,8139448,cites
17217418,16427603,cites
17217418,16099307,cites
17217418,8931024,cites
17217418,14520661,cites
17217418,10489045,cites
17217418,11140356,cites
17217418,10502825,cites
17217418,16115812,cites
17217418,9489738,cites
17217418,10632104,cites
17217418,8684387,cites
17217418,590636,cites
17217418,6848662,cites
17217418,10332839,cites
17217418,11746416,cites
17217418,12815675,cites
17217418,15334565,cites
17217418,16512662,cites
17217418,10869421,cites
17217418,2932539,cites
17217418,15792822,cites
17217418,1319506,cites
23284626,12926013,cites
23284626,8429330,cites
23284626,2932539,cites
23284626,8458085,cites
23284626,18550760,cites
23284626,14526189,cites
23284626,16389309,cites
23284626,20616151,cites
23284626,9398841,cites
23284626,10699173,cites
23284626,11152661,cites
23284626,17715336,cites
23284626,21192926,cites
23284626,18805465,cites
23284626,20457230,cites
23284626,8401589,cites
23284626,10575040,cites
23284626,18954449,cites
23284626,6454826,cites
23284626,11804649,cites
23284626,12620967,cites
23284626,16687439,cites
23284626,17352931,cites
23284626,9159500,cites
23284626,10785452,cites
23284626,19464370,cites
23284626,11835380,cites
23284626,20629137,cites
23284626,10783874,cites
23284626,16624677,cites
23284626,16990806,cites
23284626,1838677,cites
23284626,9266732,cites
23284626,10829080,cites
23284626,12165556,cites
23284626,10891614,cites
23284626,14751289,cites
23284626,15610167,cites
23284626,10814708,cites
23284626,15606779,cites
23284626,10739639,cites
23284626,7695232,cites
23284626,12615650,cites
23284644,23284626,cites
23284644,8458085,cites
23284644,8659522,cites
23284644,8242074,cites
23284644,9596408,cites
23284644,17034350,cites
23284644,11571328,cites
23284644,9443488,cites
23284644,17712222,cites
23284644,8898202,cites
23284644,22328089,cites
23284644,16389309,cites
23284644,17352931,cites
23284644,12926013,cites
23284644,18805465,cites
23284644,10348656,cites
23284644,11074347,cites
23284644,12052921,cites
23284644,11731527,cites
23284644,15625098,cites
23284644,12559154,cites
23284644,21227253,cites
23284644,11889230,cites
23284644,18337273,cites
23284644,12574425,cites
23284644,17169479,cites
23284644,19616518,cites
23284644,21629717,cites
23284644,19818852,cites
23284644,18667541,cites
23284644,18007201,cites
23284644,18562619,cites
23284644,21048118,cites
23284644,18981372,cites
23284644,12812983,cites
23284644,18638556,cites
23284644,21576479,cites
23284644,15249612,cites
23284644,20396376,cites
23284644,17947312,cites
23284644,20850189,cites
23284644,21907762,cites
23284644,22137354,cites
23284644,8929153,cites
23284644,10468506,cites
23284644,18096682,cites
23284644,10411943,cites
23284644,10844007,cites
23284644,19150499,cites
23284644,21601164,cites
23284644,9566391,cites
23284644,10489045,cites
23284644,15287882,cites
23284644,21060093,cites
23284644,17217418,cites
19464370,18265382,cites
19464370,1977087,cites
19464370,10191337,cites
19464370,8723200,cites
19464370,14667455,cites
19464370,18550760,cites
19464370,6316146,cites
19464370,16137562,cites
19464370,11835380,cites
19464370,13679245,cites
19464370,3162109,cites
19464370,24897311,cites
19464370,17519223,cites
19464370,16623840,cites
19464370,11152661,cites
19464370,10575040,cites
19464370,16687439,cites
19464370,8898202,cites
19464370,11804649,cites
19464370,12223581,cites
19464370,11353291,cites
19464370,15634777,cites
19464370,19130884,cites
19464370,12787792,cites
19464370,9932964,cites
19464370,9266614,cites
19464370,9150744,cites
19464370,15081595,cites
19464370,12812983,cites
19464370,16076956,cites
19464370,18854207,cites
19464370,14999077,cites
19464370,7876851,cites
19464370,8268906,cites
19464370,8458085,cites
19464370,10783874,cites
19464370,18380890,cites
19464370,15843620,cites
19464370,16571604,cites
19464370,17147801,cites
19464370,17276692,cites
19464370,17352931,cites
19714377,15265035,cites
19714377,9124802,cites
19714377,14746986,cites
19714377,11311558,cites
19714377,10649571,cites
19714377,9480749,cites
19714377,7874163,cites
19714377,8710825,cites
19714377,17571346,cites
19714377,12045202,cites
19714377,16845044,cites
19714377,8358439,cites
19714377,11450850,cites
19714377,16194547,cites
19714377,566869,cites
19714377,7611296,cites
19714377,18835329,cites
19714377,12626338,cites
19714377,18394746,cites
19714377,10942424,cites
19714377,15860725,cites
19714377,12297501,cites
19714377,17693639,cites
19714377,17234717,cites
19714377,16325574,cites
19714377,16556303,cites
19714377,11708990,cites
19714377,18285363,cites
19714377,15808507,cites
19714377,16939621,cites
19714377,18418689,cites
19714377,15537899,cites
19714377,16087686,cites
19714377,1409577,cites
19714377,17696782,cites
19714377,16091834,cites
19714377,10892812,cites
19714377,12533095,cites
27721240,8458085,cites
27721240,16288298,cites
27721240,20410236,cites
27721240,23768628,cites
27721240,22847428,cites
27721240,21247881,cites
27721240,21795378,cites
27721240,23052488,cites
27721240,22383888,cites
27721240,14500808,cites
27721240,21908410,cites
27721240,23907466,cites
27721240,21173221,cites
27721240,22285529,cites
27721240,24848018,cites
27721240,19796074,cites
27721240,21028906,cites
27721240,22397573,cites
27721240,14522959,cites
27721240,11264541,cites
27721240,10814708,cites
27721240,12586547,cites
27721240,18063376,cites
27721240,19745829,cites
27721240,21632937,cites
27721240,17317629,cites
27721240,21724553,cites
27721240,23315009,cites
27721240,19412185,cites
27721240,21539318,cites
27721240,19240687,cites
27721240,19334076,cites
27721240,15811941,cites
27721240,17940007,cites
27721240,22726834,cites
27721240,25035419,cites
27721240,8898202,cites
27721240,20055705,cites
27721240,25753670,cites
27721240,26590344,cites
27721240,19027857,cites
27721240,21170307,cites
27721240,19130884,cites
27721240,21835884,cites
27721240,21985529,cites
27721240,11880489,cites
27721240,23295856,cites
27721240,3794585,cites
27721240,23598407,cites
27721240,17720982,cites
27721240,12538238,cites
27721240,16646809,cites
27721240,15461798,cites
27721240,11846609,cites
27721240,19422910,cites
27721240,21558425,cites
10829080,7620118,cites
10829080,2932539,cites
10829080,8458085,cites
10829080,8898202,cites
10829080,10191337,cites
10829080,9267033,cites
10829080,9302293,cites
10829080,9439509,cites
10829080,8275091,cites
10829080,8240819,cites
10829080,6319625,cites
10829080,2540203,cites
10829080,2160982,cites
10829080,7527845,cites
10829080,2506642,cites
10829080,10448198,cites
10829080,7531987,cites
10829080,8786435,cites
10829080,6270629,cites
10829080,9334390,cites
10829080,9795103,cites
10829080,10196563,cites
10829080,1979497,cites
10829080,2069816,cites
10829080,6548748,cites
10829080,2433692,cites
10829080,7636023,cites
10829080,10854268,cites
10829080,10805695,cites
10829080,10195174,cites
10829080,9390524,cites
10829080,10433257,cites
10829080,1494946,cites
10829080,10854908,cites
10829080,1353788,cites
10829080,1695398,cites
10829080,10380849,cites
10829080,9694658,cites
10829080,9600992,cites
10829080,10411943,cites
10829080,10402204,cites
10829080,2153935,cites
10829080,10719158,cites
10829080,10774721,cites
10829080,7535402,cites
10829080,8526457,cites
10829080,10377328,cites
10829080,8895865,cites
22044866,19500222,cites
22044866,17451183,cites
22044866,9267033,cites
22044866,19332141,cites
22044866,19362590,cites
22044866,12358779,cites
22044866,20236390,cites
22044866,16137562,cites
22044866,20150305,cites
22044866,10078572,cites
22044866,19338025,cites
22044866,16135087,cites
22044866,9595987,cites
22044866,19908918,cites
22044866,19546105,cites
22044866,15275920,cites
22044866,2141871,cites
22044866,8898202,cites
22044866,19464370,cites
22044866,20310029,cites
22044866,20220018,cites
22044866,19010400,cites
22044866,18096682,cites
22044866,9810561,cites
22044866,14709789,cites
22044866,17562929,cites
22044866,20451620,cites
22044866,16157910,cites
22044866,18930824,cites
22044866,16127709,cites
22044866,21060093,cites
22044866,17217418,cites
22044866,12815675,cites
22044866,16512662,cites
22044866,16464959,cites
22044866,19320010,cites
